Barbarian,,,,,,,,,,,,,,,,,
,Name,SCW,VariationWeight,StartFrame,EndFrame,EndSettleFrame,LoopFrame,Effect,EffectFrame,EffectOffsetX,EffectOffsetY,EffectOffsetZ,EffectStopAction,Priority,FadeIn,AutoFadeOut,Mount
,string,string,int,int,int,int,int,string,int,int,int,int,string,string,int,int,string
,Idle,sc3d/squad_barbarian_idle.glb,,,,,,,,,,,,,100,,
,Run,sc3d/squad_barbarian_run.glb,,,,,,,,,,,,1,,,
,Attack1,sc3d/squad_barbarian_attack.glb,,,,,,,,,,,,2,,,
,Attack2,sc3d/squad_barbarian_attack.glb,,,,,,,,,,,,2,,,
,Attack3,sc3d/squad_barbarian_attack.glb,,,,,,,,,,,,2,,,
,Attack4,sc3d/squad_barbarian_attack.glb,,,,,,,,,,,,2,,,
,Ambush,sc3d/male_jump.glb,,,,,,,,,,,,2,,,
,Stun,sc3d/male_pushback.glb,,,,,,,,,,,,2,,,
,Stun Loop,sc3d/male_pushback.glb,,,,,,,,,,,,,,,
,Stun Recover,sc3d/male_pushback.glb,,,,,,,,,,,,2,,,
,Skill1,sc3d/male_kick.glb,,,,,,,,,,,,2,,,
,Skill2,sc3d/male_kick.glb,,,,,,,,,,,,2,,,
,Skill3,sc3d/male_kick.glb,,,,,,,,,,,,2,,,
,Knockout,sc3d/male_knockout.glb,,,,,,,,,,,,2,,,
,Knockout Loop,sc3d/male_knockout.glb,,,,,,,,,,,,2,,,
,Knockout Recover,sc3d/male_knockout_recover.glb,,,,,,,,,,,,2,,,
Dragonling Weak Melee,,,,,,,,,,,,,,,,,
,Name,SCW,VariationWeight,StartFrame,EndFrame,EndSettleFrame,LoopFrame,Effect,EffectFrame,EffectOffsetX,EffectOffsetY,EffectOffsetZ,EffectStopAction,Priority,FadeIn,AutoFadeOut,Mount
,string,string,int,int,int,int,int,string,int,int,int,int,string,string,int,int,string
,Idle,sc3d/dragonling_weakmelee_idle_a.glb,10,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_idle_vo,,,,,,,100,,
,,sc3d/dragonling_weakmelee_idle_b.glb,7,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_idle_vo,,,,,,,100,,
,,sc3d/dragonling_weakmelee_idle_c.glb,2,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_idle_vo,,,,,,,100,,
,,sc3d/dragonling_weakmelee_idle_d.glb,3,,,,,,,,,,,,100,,
,,sc3d/dragonling_weakmelee_idle_e.glb,5,,,,,,,,,,,,100,,
,Run,sc3d/dragonling_weakmelee_run.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_run_vo,,,,,,1,100,,
,,sc3d/dragonling_weakmelee_run.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_run_vo,,,,,,1,100,,
,Attack1,sc3d/dragonling_weakmelee_attack_a.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_small_attack_vo,,,,,,2,60,,
,Attack2,sc3d/dragonling_weakmelee_attack_b.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_small_attack_vo,,,,,,2,60,,
,Ambush,sc3d/dragonling_weakmelee_ambush.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_ambush_vo,,,,,,2,,,
,,,,,,,,fmod_studio_sounds/footsteps/footstep_dirt,24,,,,,,,,
,,,,,,,,fx/effect/ps_dragonling_weak_ambush_01,27,,,,,,,,
,Stun,sc3d/dragonling_weakmelee_stun_start.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_smaller_knockout_vo,,,,,,2,60,,
,Stun Loop,sc3d/dragonling_weakmelee_stun_loop.glb,,,,,,,,,,,,2,100,,
,Stun Recover,sc3d/dragonling_weakmelee_stun_recover.glb,,,,,,,,,,,,2,100,,
,Skill1,sc3d/dragonling_weakmelee_skill_a.glb,,,,,,fmod_studio_sounds/characters/dragonling_weak/enemy_dragonling_small_attack_vo,,,,,,2,60,,
