Name,OrderNumber,Disabled,ParagonSeason,VisibleOnlyInMatchingSeason,DungeonSet,DifficultyTrack,MonsterDifficulty,SceneType,TimeInSeconds,DungeonNeedToKillAllMonsters,DefendFriendliesTID,XpLevelReg,ParagonLevelReg,EstimatedXpLevelReg,PvpXpLevelCap,GearScore,TID,Music,AmbientSound,SceneJSON,DefaultEnvironmentalEffect,IconAsset,WorldType,PlayerCount,RespawnSeconds,DungeonDrop,DungeonDropMultiplier,AmbushType,SummonEliteChanceNormal,SummonEliteChanceStrong,SummonEliteChanceBoss,AverageBotXPLevelNormal,AverageBotGearLevelNormal,BotPowerGemLevelForOfflineDungeon,AverageBotXPLevelHard,AverageBotGearLevelHard,AverageBotXPLevelVeryHard,AverageBotGearLevelVeryHard,BotBoost,SummonCanBeElite,BluePrintPointsFromNormal,BluePrintPointsFromStrong,BluePrintPointsFromBoss,BluePrintPointsForFirstDrop,BluePrintPointsForSecondDrop,BluePrintPointsForThirdDrop,BluePrintPointsForFourthDrop,DungeonAndQuestAndPvpCompletedLootProfile,BossHealthBoostPercent,PvpEnemy1,PvpEnemy1Points,PvpEnemy2,PvpEnemy2Points,PvpEnemy3,PvpEnemy3Points,PvpEnemy4,PvpEnemy4Points,PvpEnemy5,PvpEnemy5Points,PvpEnemy6,PvpEnemy6Points,PvpEnemy7,PvpEnemy7Points,PvpEnemy8,PvpEnemy8Points,SkinDrop,RandomEventLevel,RandomEvent1,RandomEvent1Chance,RandomEvent2,RandomEvent2Chance,RandomEvent3,RandomEvent3Chance,RandomEvent4,RandomEvent4Chance,RandomEvent5,RandomEvent5Chance,RandomEvent6,RandomEvent6Chance,SmallEnemyDamageAndHealingIncreasePercent,SmallEnemyHealthIncreasePercent,SmallEnemyLootIncreasePercent,LargeEnemyDamageAndHealingIncreasePercent,LargeEnemyHealthIncreasePercent,LargeEnemyLootIncreasePercent,BossEnemyDamageAndHealingIncreasePercent,BossEnemyHealthIncreasePercent,BossEnemyLootIncreasePercent,FriendlyDamageAndHealingIncreasePercent,FriendlyHealthIncreasePercent,Modifier1,Modifier1Number,Modifier2,Modifier2Number,AreaEffect,AreaEffectChancePermilleEveryTenthOfASecond,AreaEffectRandomDistanceFromPlayer,AreaEffectMinimumDistanceFromPlayer,AreaEffectDamagesEnemies,AreaEffectActiveTimeMs,AreaEffectDownTimeMs,AreaEffectMinimumDistanceToEachOther
string,int,boolean,int,boolean,int,int,int,string,int,boolean,string,int,int,int,int,int,string,string,string,string,string,string,string,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,int,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,string,int,string,int,string,int,int,int,boolean,int,int,int
Home,,,,,,,,Home,,,,,,,,,TID_HOME,Home,HomeCityNight,scene/home.json,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TutorialAreaBasic,,,,,,,,OpenWorld,,,,1,,1,,700,TID_TUTORIAL_AREA_EARTH,EarthSynthwave,EarthCityOutdoorsDay,scene/tutorial_oa00_basic_v3.json,,sc/ui.sc#mapbg_w00_oa01,Dragonling,8,3,,,2,,,,10,10,,,,,,,,10,10,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TutorialArea,,,,,,,,OpenWorld,,,,1,,1,,700,TID_TUTORIAL_AREA_V2,EarthSynthwave,DragonlingCity,scene/tutorial_oa00_v3.json,,sc/ui.sc#mapbg_w00_oa02,Dragonling,12,3,,,,,,,10,10,,,,,,,,,,1000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TutorialDungeon,,TRUE,,,,,,Arena,300,,,1,,1,,700,TID_TUTORIAL_DUNGEON,DungeonLight,AmbDungeon01,scene/w00_tutorial_dungeon.json,,sc/ui.sc#mapbg_w01_dg01,MocoGym,3,10,,,,,,,10,10,,,,,,,,100,500,10000,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TutorialAreaCompleted,,,,,,,,OpenWorld,,,,1,,1,,700,TID_TUTORIAL_AREA_COMPLETED,CoolZone,EarthCityOutdoorsDay,scene/w00_cool_zone.json,,sc/ui.sc#mapbg_w00_oa02,MocoGym,14,3,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_OA01,,,,,,,,OpenWorld,,,,,,1,,400,TID_AREA1,OpenWorldDragonlingShrineCanyon,CanyonTop,scene/w01_oa01.json,,sc/ui.sc#mapbg_w01_oa01,Dragonling,28,10,,,,,,,35,35,,,,,,,,30,150,2000,200,600,1000,,,,,,,,,,,,,,,,,,,,,1,,,,,FightingNpcEvent,500,RunningNpcEvent,500,EscortNpcEvent,500,,,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W01_OA02,1,,,,,,,OpenWorld,,,,,,3,,600,TID_AREA3,OpenWorldDragonlingOvergrownRuins,OvergrownRuins,scene/w01_oa02_v2.json,,sc/ui.sc#mapbg_w01_oa02,Dragonling,28,10,,,,,,,65,65,,,,,,,,30,150,2000,1000,3000,5000,,,,,,,,,,,,,,,,,,,,,3,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,RunningNpcEvent,500,ProtectNpcEvent,500,InvasionPortalEvent_W01_OA02,300,,,,,,,,,,,,,,,,TornadoOpenWorld,3,2500,1300,TRUE,40000,4000000,
W02_OA01,2,,,,,,,OpenWorld,,,,,,6,,800,TID_MAP_BEETLE_OA1,OpenWorldBeetleTheForest,SpookyForest,scene/w02_oa01.json,,sc/ui.sc#mapbg_w02_oa01,Beetle,28,10,,,1,,,,105,105,,,,,,,,30,150,2000,7000,15000,23000,,,,,,,,,,,,,,,,,,,,,6,LootBugEvent,1000,WagonEvent,500,FightingNpcEvent,500,PrisonEvent,1000,EscortNpcEvent,500,InvasionPortalEvent_W02_OA01,300,,,,,,,,,,,,,,,,LightningOpenWorld,80,600,,TRUE,40000,4000000,200
W01_DG01,,,,,,,,Dungeon,300,,,,,6,,1000,TID_DUNGEON1,DungeonDragonlingOvergrownRuins,GrassyPlains,scene/w01_dg01.json,,sc/ui.sc#mapbg_w01_dg01,Dragonling,4,15,,,,,,,90,60,,,,,,,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_ARENA,1,,,,,,,Arena,300,,,,,7,,1250,TID_ARENA0,ArenaDungeon01B,EarthCityOutdoorsDay,scene/w00_arena01_test.json,,sc/ui.sc#mapbg_w00_arena01,Dragonling,4,15,,,,,,,90,70,,,,,,,,100,500,10000,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG01,2,,,,,,,Dungeon,300,,,,,9,,1400,TID_MAP_BEETLE_DG1,DungeonBeetleDangerSong1,SpookyLands,scene/w02_dg01.json,,sc/ui.sc#mapbg_w02_dg01,Beetle,4,15,,,1,,,,90,90,,,,,,,,100,500,10000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG02,3,,,,1,,,Dungeon,300,,,,,10,,1500,TID_MAP_P01_DG3,DungeonDragonlingShrineCanyon,WindyClifftop,scene/w01_dg02.json,,sc/ui.sc#mapbg_w01_dg02,Dragonling,4,15,,,,,,,130,130,,,,,,2,,100,500,10000,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02_DG02,4,,,,1,,,Dungeon,300,,,,,12,,1600,TID_MAP_P01_DG4,DungeonBeetleTheForest,SpookyForest,scene/w02_dg02.json,,sc/ui.sc#mapbg_w02_dg02,Beetle,4,15,,,1,,,,145,145,,,,,,3,,100,500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG09,5,,,,1,,,Dungeon,300,,,,,13,,1700,TID_W01_DG09,DungeonDarkBigPapa,EarthCityRooftopNight,scene/w00_park_dg.json,,sc/ui.sc#mapbg_w00_arena02,Dragonling,4,15,,,,,,,160,160,,,,,,4,,100,500,10000,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W01_DG01_1,6,TRUE,,,,,,Dungeon,300,,,,,14,,2000,TID_DUNGEON1_1,DungeonDragonlingOvergrownRuins,GrassyPlains,scene/w01_dg01.json,,sc/ui.sc#mapbg_w01_dg01,Dragonling,4,15,,,,,,,160,160,,,,,,,,100,500,10000,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,100,100,,100,100,,200,200,,,,,,,,,,,,
W01_ARENA_1,7,TRUE,,,,,,Arena,300,,,,,16,,2200,TID_ARENA0_1,ArenaDungeon01B,EarthCityOutdoorsDay,scene/w00_arena01_test.json,,sc/ui.sc#mapbg_w01_arena01,Dragonling,4,15,,,,,,,170,170,,,,,,,,100,500,10000,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,100,100,,100,100,,,,,,,,,,,,,,,
W02_DG01_1,8,TRUE,,,,,,Dungeon,300,,,,,17,,2300,TID_MAP_BEETLE_DG1_1,DungeonBeetleDangerSong1,SpookyLands,scene/w02_dg01.json,,sc/ui.sc#mapbg_w02_dg01,Beetle,4,15,,,1,,,,190,190,,,,,,,,100,500,10000,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,100,100,,100,100,,,,,,,,,,,,,,,
W01_DG02_1,9,TRUE,,,,,,Dungeon,300,,,,,19,,2500,TID_MAP_P01_DG3_1,DungeonDragonlingShrineCanyon,WindyClifftop,scene/w01_dg02.json,,sc/ui.sc#mapbg_w01_dg02,Dragonling,4,15,,,,,,,200,200,,,,,,2,,100,500,10000,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,,75,75,,75,75,,,,,,,,,,,,,,,
W02_DG02_1,10,TRUE,,,,,,Dungeon,300,,,,,20,,2600,TID_MAP_P01_DG4_1,DungeonBeetleTheForest,SpookyForest,scene/w02_dg02.json,,sc/ui.sc#mapbg_w02_dg02,Beetle,4,15,,,1,,,,210,210,,,,,,3,,100,500,10000,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,,75,75,,75,75,,,,,,,,,,,,,,,
W01_DG09_1,11,TRUE,,,,,,Dungeon,300,,,,,21,,2800,TID_W01_DG09_1,DungeonDarkBigPapa,EarthCityRooftopNight,scene/w00_park_dg.json,,sc/ui.sc#mapbg_w01_dg03,Dragonling,4,15,,,,,,,220,220,,,,,,4,,100,500,10000,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,,75,75,,75,75,,,100,,,,,,,,,,,,
W01_DG01_2,12,TRUE,,,,,,Dungeon,300,,,,,23,,3000,TID_DUNGEON1_2,DungeonDragonlingOvergrownRuins,GrassyPlains,scene/w01_dg01.json,,sc/ui.sc#mapbg_w01_dg01,Dragonling,4,15,,,,,,,240,240,,,,,,,,100,500,10000,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,175,,175,175,,175,175,,400,400,,,,,,,,,,,,
W01_ARENA_2,13,TRUE,,,,,,Arena,300,,,,,24,,3200,TID_ARENA0_2,ArenaDungeon01B,EarthCityOutdoorsDay,scene/w00_arena01_test.json,,sc/ui.sc#mapbg_w01_arena01,Dragonling,4,15,,,,,,,250,250,,,,,,,,100,500,10000,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,175,,175,175,,175,175,,,,,,,,,,,,,,,
W02_DG01_2,14,TRUE,,,,,,Dungeon,300,,,,,26,,3500,TID_MAP_BEETLE_DG1_2,DungeonBeetleDangerSong1,SpookyLands,scene/w02_dg01.json,,sc/ui.sc#mapbg_w02_dg01,Beetle,4,15,,,1,,,,260,260,,,,,,,,100,500,10000,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,175,,175,175,,175,175,,,,,,,,,,,,,,,
