Name,OrderNumber,EliteResource1,EliteResourceMinDrop1,EliteResourceMaxDrop1,EliteResource2,EliteResourceMinDrop2,EliteResourceMaxDrop2,TID,TID2,Building,EventType,MocoEvent,EventTID,GraphicsAsset,AnimationSet,IconAsset,CharacterType,LootZ,Health,MovementSpeed,AggroRadius,ChainAggroRadius,HasDungeonDeAggro,AlertTimeMs,DeathTimeMs,DespawnTimeMs,TurnToMonsterTimeMs,ConsumeOtherMonsterTimeMs,MonsterCelebrateTimeMs,AmbushFromGroundTimeMs,SpawnTimeMs,StunPreTimeMs,StunRecoveryTimeMs,Behavior,Weapon,Gear1,Gear2,Gear3,Gear4,Gear1Stage2,Gear2Stage2,Gear3Stage2,Gear4Stage2,Gear1Stage3,Gear2Stage3,Gear3Stage3,Gear4Stage3,Stage2HealthPercent,Stage3HealthPercent,DeathSkill,EatsFood,CollisionRadius,CollisionRadiusAgainstAttacks,Scale,UiScale,FitToBoxScale,MovementAnimationSpeed,HealthBarZOffset,HealthBarScale,HealthBarFollowBone,SpawnEffect,DespawnEffect,TurnToMonsterEffect,PushBackDeathEffectLong,PushBackDeathEffectShort,DeathEffect,DeathEffect2,HitEffect,PortalSpawnEffect,EffectZ,LoopingEffect,EliteLoopingEffect,LoopingEffectOffset,LootProfile,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,TurnToCharacter,TurnToCharacterChancePermille,ShouldInheritHealthOnTurnToCharacter,DynamicEnemySpawningAmount,ProtectTimeSec,ReleaseSpawnPointSeconds,BotVisibilityBoost,ExpireTimeMs,JumpGravity,BlockForQuest,ImmuneToStun,DynamicHealth,SpeechBubbleOpenEffect,SpeechBubbleCloseEffect,Level,RotationSpeed,CanMoveWhenRotating,StaticRotationAllowed,LootDelayMs,ForceShowOnMap,IsChaosMonster,ForcedTarget
string,int,string,int,int,string,int,int,string,string,string,string,boolean,string,string,string,string,string,int,int,int,int,int,boolean,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,int,string,boolean,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,string,string,string,int,string,string,int,string,boolean,int,int,int,int,int,int,string,int,boolean,int,int,int,int,int,int,boolean,boolean,boolean,string,string,int,int,boolean,boolean,int,boolean,boolean,string
Player,1,,,,,,,TID_PLAYER,,,,,,sc3d/pf_player,,,Player,,,300,,,,,,,,,,1100,1100,300,700,,StartingWeapon,AreaHeal,,,,,,,,,,,,,,,,32,16,150,,,,17,100,healthbar_s,fx/effect/ps_player_spawn_01,,,,,fx/effect/ps_player_death_fullscreen_01,fmod_studio_sounds/player/player_death_vo,fmod_studio_sounds/player/player_hit_soft,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
Mount1,,,,,,,,,,,,,,sc3d/pf_mount_bird_pattern_c,,,Mount,,,150,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,,,100,,,,19,100,,fx/effect/teleport,,,,,fx/effect/death_flash_med_mm,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomeComputer,,,,,,,,TID_PORTAL,,,,,,sc3d/pf_keyitem_portal,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,125,,100,,,,21,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
HomeOutfits,,,,,,,,TID_OUTFITS,,,,,,sc3d/pf_apartment_keyitem_skins,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,175,,100,,,,18,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
HomePrinter,,,,,,,,TID_PRINTER,,,,,,sc3d/pf_keyitem_printer,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,200,,104,,,,25,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
HomeDpsTest,,,,,,,,TID_DPS_TEST_MAP,,,,,,sc3d/pf_keyitem_testingdummy,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,175,,1,,,,16,100,,,,,,,,,fmod_studio_sounds/characters_common/target_dummy_hit,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
HomeWardrobe,,,,,,,,TID_BUILDS,,,,,,sc3d/pf_keyitem_wardrobe,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,175,,125,,,,22,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
HomeEndGame,,,,,,,,TID_BUILDING_END_GAME,,,,,,sc3d/pf_elitehunter,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,175,,200,,,,-2,100,healthbar_s,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
PotionBlender,,,,,,,,TID_POTION_BLENDER,,,,,,sc3d/pf_keyitem_potions,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,200,,100,,,,23,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkinCollections,,,,,,,,TID_SKIN_COLLECTIONS,,,,,,sc3d/pf_keyitem_shop,,,HomeInteractive,,1,,,,,,,,,,,1100,1100,300,300,,,,,,,,,,,,,,,,,,,200,,100,,,,28,100,,,,,,,fx/effect/death_flash_med_mm,,,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
BigPetWeaponPet,,,,,,,,,,,,,,sc3d/pf_bigpetweapon_pet,,,Pet,,1500,300,,,,,,,,,,1100,1100,300,300,,BigPetWeaponPetMeleeWeapon,,,,,,,,,,,,,,,,,16,16,135,,,,16,100,,fx/effect/ps_wolfbow_summon_01,,,,,fx/effect/ps_wolf_pet_death_01,fmod_studio_sounds/characters/wolfpet/player_pet_wolfpet_death,fmod_studio_sounds/characters/wolfpet/player_pet_wolfpet_hit_soft,,50,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
