Name,FontSize,ImageAsset
String,int,String
,,
TID_CREDITS_CATEGORY,20,
Eelis Aaltonen,,
Dino Adani,,
Anton Ahlin,,
Heikki 'The Botmaster' Arponen,,
Chris Bancroft,,
Dennis 'Denamo' Belfrage,,
Harshita Bhavsar,,
Dan Bonett,,
Aditi Bose,,
Stephen Bradley,,
Maxime Cambier,,
Dave Chang,,
Xuhui Chen,,
Thea Chow,,
John Cipriani,,
Silvio Clausen,,
Andrew Clayton,,
Sean Cornejo,,
Ayushman 'iceman' Datta Gupta,,
Sergiy Dubovik ,,
Jalda Eggleton,,
Markus Eräpolku,,
Minna Eriksson,,
Edvard Fagerholm,,
Jon Franzas,,
Joao Freitas,,
Qiang Fu,,
Koen Gabriëls,,
Juho Glad,,
Nigel Goh,,
Joao Jacinto Gomes,,
Mariana Gomes de Souza,,
Francisco Granados,,
Harri Granholm ,,
Rebecca Green,,
Kalle Hämäläinen,,
Mikko Hokkanen,,
Dan Howland,,
Ville Huovila,,
Tiina Hutri,,
Chi Moon Hwang,,
Matias Hyry,,
Essi Inkiläinen,,
Niilo Jaba,,
Robert Kamphuis,,
Minyoung Kang,,
Tae Rim Kim,,
David King,,
Markus Kivioja,,
Samuel Klinkmann,,
Hannu Koskinen,,
Tomi Koskinen ,,
Byeongmin Kwon,,
Mikko Laakkio,,
Rauli Laatikainen,,
Vili-Valtteri Laine,,
Federico Larrañaga,,
Christina Lee,,
Jimmy Lee,,
Erica Li,,
Ryan Lighton,,
Seonhee Lim,,
Janne Lindholm,,
Leo Linnamaa,,
Alex Ling,,
Igor Lisovskii,,
Phillip Lockwood,,
Jonne Loikkanen,,
Damien Mabin,,
Antoine 'Cool Zone' Madre,,
Edmond Maillard,,
Julia Maroto,,
Christin Matt,,
Antti Mattila,,
Marcus Mestrov,,
Abel Najih ,,
Krista Nikkari,,
Henri Noste,,
Heidi Ojennus,,
Stephen Park,,
Henri Pätsi,,
Miika Pylkkö,,
Meri-Tuulia Rautavuori,,
Sophie Reid,,
Stephen Routledge,,
Jarkko Salminen,,
Martin Schjøler,,
Jarno Seppänen,,
Vitaly Shestovskiy,,
Heikki Sinivaara,,
Olli Sivonen,,
Mikko Sivulainen,,
Timothy Smith,,
Lucia Souralaysak,,
Jari Sukanen,,
Tommi Suvinen,,
Ville Talonpoika,,
Elie Tattevin-Drevet,,
Ken Taya,,
Erol Tekkanat,,
Ella-Roosa Tenhunen,,
Arto Tervo,,
Wilhelm Tigerstedt,,
Tommi Toivonen,,
Daniil Tolmachev,,
Ville Toro,,
Vinh Truong,,
Mikko Tyni,,
Mikko Väänäkoski,,
Veli Vainio,,
Kalle Väisänen,,
Mikko Väisänen,,
Jaakko Väyrynen,,
Vesa Vilhonen,,
Felix Vivier,,
Jean-Louis Voiseux,,
Nadya Volchetskaya,,
Slava Volkov,,
Kustaa Vuori,,
Inke Wäinölä,,
Felicia Xie,,
Nikolay Zapolnov,,
,,
,,
,,
,,
,,
,,
,,
,,
TID_SPECIAL_THANKS_CATEGORY,20,
Calvin,,
Liam,,
Sara ,,
Darius Bozek,,
Gary Keen,,
Joonyong Park,,
Our local Chinese buffet,,
TID_COPYRIGHT,20,
Empty4,,
carrot,,sc/ui.sc#icon_res_beetlestrongdamagebuffer_base
Empty5,,
