Name,Actions,Type,Label,Category,GameState,ServerState,SpecialState,Platform,KeyCode,CtrlKey,AltKey,EnableContinuousPresses,Disabled,CreatorBuildEnabled
string,string,string,string,string,string,string,string,string,string,boolean,boolean,boolean,boolean,boolean
RestartCommon,Restart,Default,Restart,Common,,,,,Y,,,,,
ToggleTutorialAndMissionsCommon,ToggleTutorialAndMissions,Command,Toggle tutorial & missions (T),Common,Home,,TutorialEnabled,,,,,,,
ResetAccountCommon,ResetAccount,Default,Reset Account,Common,Home,,,,P,,,,,
ToggleUnlockMapAndBlueprintsCommon,ToggleUnlockMapsAndBlueprints,Command,Toggle unlock maps & blueprints,Common,Home,,,,K,,,,,
LevelUpCommon,LevelUp,Command,Level Up,Common,Home,,,,L,,,,,
MaxGearForCurrentLevelCommon,MaxGearForCurrentLevel,Command,Max Gear For Current Level,Common,Home,,,,M,,,,,
UnlockMainQuestCommon,UnlockMainQuest,Default,Unlock Main Quest,Common,Home,,,,F,TRUE,,,,
UnlockSkinsForCodeCommon,UnlockSkinsForCode,Default,Unlock Skins For Code,Common,Home,,,,L,TRUE,TRUE,,,
ToggleDisableTasksPopupAutoOpenCommon,ToggleDisableTasksPopupAutoOpen,Command,Toggle Tasks Popup Auto Open,Common,Home,,,,O,TRUE,,,,
UnlockEnabledSkinsCommon,UnlockEnabledSkins,Command,Unlock All Enabled Skins,Common,Home,,,,,,,,,
VFXShortcut,SetTutorialAndMissionsDisabled,Command,VFX Shortcut,Common,Home,,,,,,,,,
,LevelUpToParagon,,,,,,,,,,,,,
,MaxGearForCurrentLevel,,,,,,,,,,,,,
,UnlockEnabledSkins,,,,,,,,,,,,,
,SetUnlockMapsAndBlueprintsEnabled,,,,,,,,,,,,,
,ShowTestLevelsChapters,,,,,,,,,,,,,
,SetSkipPortalMapPopupEnabled,,,,,,,,,,,,,
CH2Start,SetTutorialAndMissionsDisabled,Command,CH2 Start,Common,Home,,,,,,,,,
,LevelUpTo30,,,,,,,,,,,,,
,MaxGearForCurrentLevel,,,,,,,,,,,,,
,UnlockEnabledSkins,,,,,,,,,,,,,
,SetUnlockMapsAndBlueprintsEnabled,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ResetAccount,ResetAccount,Default,Reset Account,Accounts,Home,,,,,,,,,
Account1,Account1,Default,Switch to account 1,Accounts,Home,,,,,,,,,
Account2,Account2,Default,Switch to account 2,Accounts,Home,,,,,,,,,
Account3,Account3,Default,Switch to account 3,Accounts,Home,,,,,,,,,
AccountInfo,AccountInfo,Default,Account Info,Accounts,Home,,,,,,,,,
SCIDLogin,SCIDLogin,Default,SCID login,Accounts,Home,,,,,,,,,
SCIDSwitch,SCIDSwitch,Default,SCID account switcher,Accounts,Home,,,,,,,,,
ChangeLanguageNext,ChangeLanguageNext,Default,Next Language,Accounts,,,,,,,,,,
ChangeLanguagePrev,ChangeLanguagePrev,Default,Prev Language,Accounts,,,,,,,,,,
,,,,,,,,,,,,,,
LoadAssetLoadGroup,LoadAssetLoadGroup,Default,Load AssetLoadGroup,AssetLoadGroup,,,,,,,,,,
FreeAssetLoadGroup,FreeAssetLoadGroup,Default,Free AssetLoadGroup,AssetLoadGroup,,,,,,,,,,
TestAssetLoadGroup,TestAssetLoadGroup,Default,Test AssetLoadGroup,AssetLoadGroup,,,,,,,,,,
,,,,,,,,,,,,,,
ToggleDebugZoom,ToggleDebugZoom,Selectable,Free Camera,Camera,,,,,Z,,,,,
ToggleDebugCamFollow,ToggleDebugCamFollow,Selectable,Free Camera follow,Camera,,,,,0,,,,,
,,,,,,,,,,,,,,
RefundIapTransaction,RefundIapTransaction,Default,IAP - refund transaction,Chronos,Home,,,,,,,,,
RefundIapChronosEvent,RefundIapChronosEvent,Default,IAP - refund chronos event,Chronos,Home,,,,,,,,,
PrintOutChronosShopOffers,PrintOutChronosShopOffers,Default,Chronos shop offers - print,Chronos,Home,,,,,,,,,
DeleteChronosAssets,DeleteChronosAssets,Default,Delete Chronos Assets,Chronos,Home,,,,,,,,,
PrintAskedChronosAssets,PrintAskedChronosAssets,Default,Print asked Chr Assets,Chronos,Home,,,,,,,,,
PrintExistingChronosAssets,PrintExistingChronosAssets,Default,Print Existing Chr Assets,Chronos,Home,,,,,,,,,
ReloadChronosAssets,ReloadChronosAssets,Default,Reload Chronos Assets,Chronos,Home,,,,,,,,,
,,,,,,,,,,,,,,
SetControlsScaleFactor,SetControlsScaleFactor,Tune,controls scale factor,Controls,,,,,,,,,,
SetControlsYMoveFactor,SetControlsYMoveFactor,Tune,controls y move factor,Controls,,,,,,,,,,
,,,,,,,,,,,,,,
KillAllEnemiesFast,KillAllEnemiesFast,Command,Kill all enemies fast,Debug,,Offline,,,N,TRUE,,,,
,,,,,,,,,,,,,,
PromoPopupDeeplinkTestOpenWeb,PromoPopupDeeplinkTestOpenWeb,Default,Promo Popup Deeplink Open Web,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestOpenShop,PromoPopupDeeplinkTestOpenShop,Default,Promo Popup Deeplink Open Shop,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestOpenShopOfferBundle,PromoPopupDeeplinkTestOpenShopOfferBundle,Default,Promo Popup Deeplink Open Shop Offer Bundle,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestShare,PromoPopupDeeplinkTestShare,Default,Promo Popup Deeplink Share,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestOpenPlayerProfile,PromoPopupDeeplinkTestOpenPlayerProfile,Default,Promo Popup Deeplink Open Player Profile,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestOpenEvents,PromoPopupDeeplinkTestOpenEvents,Default,Promo Popup Deeplink Open Events,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestJoinTeam,PromoPopupDeeplinkTestJoinTeam,Default,Promo Popup Deeplink Join Team,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestJoinOrCreateTeam,PromoPopupDeeplinkTestJoinOrCreateTeam,Default,Promo Popup Deeplink Join Or Create Team,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestSurveyCompleted,PromoPopupDeeplinkTestSurveyCompleted,Default,Promo Popup Deeplink Survey Completed,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestOpenEliteHunter,PromoPopupDeeplinkTestOpenEliteHunter,Default,Promo Popup Deeplink Open Elite Hunter,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestAddPlayerToTeam,PromoPopupDeeplinkTestAddPlayerToTeam,Default,Promo Popup Deeplink Add Player To Team,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestVoucher,PromoPopupDeeplinkTestVoucher,Default,Promo Popup Deeplink Test Voucher,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestInvite,PromoPopupDeeplinkTestInvite,Default,Promo Popup Deeplink Test Invite,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestSupportCreator,PromoPopupDeeplinkTestSupportCreator,Default,Promo Popup Deeplink Support Creator,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestFollowPlayer,PromoPopupDeeplinkTestFollowPlayer,Default,Promo Popup Deeplink Follow Player,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestCreateTeam,PromoPopupDeeplinkTestCreateTeam,Default,Promo Popup Deeplink Create Team,Deeplink,Home,Offline,,,,,,,,
PromoPopupDeeplinkTestGoToMapScreen,PromoPopupDeeplinkTestGoToMapScreen,Default,Promo Popup Deeplink Go To Map Screen,Deeplink,Home,Offline,,,,,,,,
,,,,,,,,,,,,,,
SetupPlaytestFirst,SetupPlaytestFirst,Command,Setup Playtest Account,Dev,Home,,,,,,,,,
PrintAllGearStats,PrintAllGearStats,Default,Print all gear stats,Dev,Home,,,,,,,,,
TriggerLatencyTests,TriggerLatencyTests,Default,Trigger Latency Tests,Dev,Home,,,,,,,,,
RequestLatencyTestResults,RequestLatencyTestResults,Default,Request all Latency Test Results,Dev,Home,,,,,,,,,
PrintAdConversionChanges,PrintAdConversionChanges,Default,Print Ad conversion changed,Dev,Home,,,,,,,,,
ResetAdConversionState,ResetAdConversionState,Default,Reset Ad conversion state,Dev,Home,,,,,,,,,
ToggleDisableOfflineSave,ToggleDisableOfflineSave,Default,Toggle Offline Saving,Dev,Home,Offline,,,,,,,,
OpenTestUi,OpenTestUi,Default,Open Test UI,Dev,Home,,,,,,,,,
TestSceenFlash,TestSceenFlash,Default,Screen Flash,Dev,Home,,,,B,,,,,
OpenLeaderboards,OpenLeaderboards,Default,Open Leaderboards Popup,Dev,Home,,,,,,,,,
QuickRunGearBalancing,QuickRunGearBalancing,Default,Quick run gear balancing,Dev,Home,Offline,,Desktop,B,TRUE,,,,
LogicSimulationQuickRun,LogicSimulationQuickRun,Default,Logic sim default run,Dev,Home,Offline,,Desktop,V,TRUE,,,,
TosAndPpChangedPopup,TosAndPpChangedPopup,Default,Tos+PP updated popup,Dev,Home,Offline,,,,,,,,
PrivacyPolicyChangedPopup,PrivacyPolicyChangedPopup,Default,Privacy updated popup,Dev,Home,Offline,,,,,,,,
TosChangedPopup,TosChangedPopup,Default,Tos updated popup,Dev,Home,Offline,,,,,,,,
AppUpdatedPopup,AppUpdatedPopup,Default,App updated popup,Dev,Home,Offline,,,,,,,,
ParagonEndedPopup,ParagonEndedPopup,Default,Paragon season ended popup,Dev,Home,Offline,,,,,,,,
InviteOnlyMode,InviteOnlyMode,Default,Reload to Invite Mode,Dev,Home,,,,,,,,,
SendTestCse,SendTestCse,Default,Send Test Generic CSE,Dev,,,,,,,,,,
ReportOwnName,ReportOwnName,Default,Report Own Name,Dev,,,,,,,,,,
ClearAppRating,ClearAppRating,Default,Clear App Rating,Dev,,,,,,,,,,
SetAppRatingToPrevVersion,SetAppRatingToPrevVersion,Default,Set App Rate to prev,Dev,,,,,,,,,,
PrintCurrentServer,PrintCurrentServer,Default,Print Current Server,Dev,,,,,,,,,,
PrintIsSpender,PrintIsSpender,Default,Print Spender Status,Dev,,,,,,,,,,
ToggleSendOfflineTeamUpdates,ToggleSendOfflineTeamUpdates,Default,Toggle Offline Team Updates,Dev,,Offline,,,,,,,,
ToggleTIDs,ToggleTIDs,Default,Toggle TIDS,Dev,,,,,,,,,,
ToggleDataNames,ToggleDataNames,Default,Toggle Data names,Dev,,,,,,,,,,
PrintPoolSize,PrintPoolSize,Default,Print Pool Size,Dev,,,,,,,,,,
ToggleTestUiStuff,ToggleTestUiStuff,Default,Toggle Test UI stuff,Dev,,,,,,,,,,
DumpFrameJson,DumpFrameJson,Default,Print Frame Json,Dev,,,,,,,,,,
ToggleTeamPopupMode,ToggleTeamPopupMode,Default,Toggle Team Popup Mode,Dev,,,,,,,,,,
,,,,,,,,,,,,,,
DonateRandomBody,DonateRandomBody,Default,Donate Random Body,Donate,Home,,,,,,,,,
DonateRandomHat,DonateRandomHat,Default,Donate Random Hat,Donate,Home,,,,,,,,,
DonateRandomEmote,DonateRandomEmote,Default,Donate Random Emote,Donate,Home,,,,,,,,,
DonateRandomMount,DonateRandomMount,Default,Donate Random Mount,Donate,Home,,,,,,,,,
DonateRandomPlayerTitle,DonateRandomPlayerTitle,Default,Donate Random Player Title,Donate,Home,,,,,,,,,
DonateRandomWeaponSkin,DonateRandomWeaponSkin,Default,Donate Random Weapon Skin,Donate,Home,,,,,,,,,
,,,,,,,,,,,,,,
ToggleSoftPrediction,ToggleSoftPrediction,Selectable,Soft prediction,Logic,,,,,,,,,,
ToggleEarlyLogicUpdate,ToggleEarlyLogicUpdate,Selectable,Early update,Logic,,,,,,,,,,
ToggleRandomResimulations,ToggleRandomResimulations,Selectable,Random resimulations,Logic,,,,,,,,,,
ToggleRequestAllChecksums,ToggleRequestAllChecksums,Selectable,Request all checksums,Logic,,,,,,,,,,
,,,,,,,,,,,,,,
BattleEndPreview,BattleEndPreview,Default,Battle End preview,Menu,Home,,,,,,,,,
ToggleStorageAddIngredientsHack,ToggleStorageAddIngredientsHack,Default,Toggle storage add ingredients hack,Menu,Home,,,,,,,,,
GearBalancingMenu,GearBalancingMenu,Default,GEAR BALANCING MENU,Menu,Home,Offline,,Desktop,,,,,,
ToggleHudDebug,ToggleHudDebug,Default,Toggle HUD Debug,Menu,,,,,,,,,,
ToggleDebugEmitters,ToggleDebugEmitters,Default,Toggle Debug Emitters,Menu,Home,,,,E,TRUE,,,,
ToggleTestNewMapPopups,ToggleTestNewMapPopups,Default,Toggle test new map popups,Menu,Home,,,,,,,,,
ToggleTestXpLevelPopups,ToggleTestXpLevelPopups,Default,Toggle test xp level popups,Menu,Home,,,,,,,,,
ReplayMenu,ReplayMenu,Default,REPLAY MENU,Menu,,,,,,,,,,
,,,,,,,,,,,,,,
DeeplinkTeam,DeeplinkTeam,Default,Open Deeplink Join Team,Misc,,,,,,,,,,
DeeplinkAskToJoin,DeeplinkAskToJoin,Default,Open Deepling Ask To Join Team,Misc,,,,,,,,,,
ToggleDebugMenuButtonVisibility,ToggleDebugMenuButtonVisibility,Default,Toggle Debug Button Visibility,Misc,,,,,,,,,,
Restart,Restart,Default,Restart,Misc,Home,,,,,,,,,
SpawnVisitor,SpawnVisitor,Command,Spawn Visitor,Misc,Home,,,,8,,,,,
SpawnSurveyVisitor,SpawnSurveyVisitor,Command,Spawn Survey Visitor,Misc,Home,,,,,,,,,
DespawnVisitor,DespawnVisitor,Command,Despawn Visitor,Misc,Home,,,,9,,,,,
RespawnVisitor,RespawnVisitor,Command,Respawn Visitor,Misc,Home,,,,7,,,,,
CraftingMetaCalculator,CraftingMetaCalculator,Command,Crafting Calculator,Misc,Home,,,,,,,,,
PrintEffects,PrintEffects,Command,Print Effects,Misc,Home,,,,,,,,,
PrintEnemyStats,PrintEnemyStats,Command,Print Enemy Stats,Misc,Home,,,,,,,,,
UnlockAllSkinsAndDyes,UnlockAllSkinsAndDyes,Command,Unlock all skins and dyes,Misc,Home,,,,,,,,,
RandomizeCurrentBuild,RandomizeCurrentBuild,Command,Randomize current build,Misc,Home,,,,,,,,,
WardrobeScreenshotMode,WardrobeScreenshotMode,Default,Wardrobe screen shot mode,Misc,Home,,,,,,,,,
ToggleUnlockMapsAndBlueprints,ToggleUnlockMapsAndBlueprints,Command,Toggle unlock maps and blueprints,Misc,Home,,,,,,,,,
CompleteIapPurchase,CompleteIapPurchase,Command,Complete IAP purchase,Misc,Home,,,,,,,,,
ToggleShowTestLevels,ToggleShowTestLevels,Command,Show Test Levels,Misc,Home,,,,H,,,,,
LevelUpSimulatorPickRandomUpgrade,LevelUpSimulatorPickRandomUpgrade,Command,Level up simulator - random,Misc,Home,,,,,,,,,
LevelUpSimulatorPickShortestUpgrade,LevelUpSimulatorPickShortestUpgrade,Command,Level up simulator - pick shortest upgrade,Misc,Home,,,,,,,,,
LevelUpSimulatorPickLongestUpgrade,LevelUpSimulatorPickLongestUpgrade,Command,Level up simulator - pick longest upgrade,Misc,Home,,,,,,,,,
EnableSpawnCheck,EnableSpawnCheck,Command,Enable enemy spawn check,Misc,Home,,,,,,,,,
DumpGlobalIDs,DumpGlobalIDs,Command,Dump global IDs,Misc,Home,,,,,,,,,
ChangeName,ChangeName,Default,Change name,Misc,Home,,,,,,,,,
FlipOrientation,FlipOrientation,Default,Flip Orientation,Misc,Home,,,,,,,,,
ToggleHudPrint,ToggleHudPrint,Default,Toggle HUD Print,Misc,Home,,,,X,,,,,
ToggleHud,ToggleHud,Default,Toggle Hud,Misc,,,,,O,,,,,
ToggleEndTurns,ToggleEndTurns,Default,Toggle sending end turns,Misc,Home,,,,,,,,,
ToggleOfflineMapEvents,ToggleOfflineMapEvents,Default,Toggle offline map events,Misc,Home,Offline,,,,,,,,
RunCsvModifier,RunCsvModifier,Default,Run CSV Modifier,Misc,Home,Offline,,,,,,,,
RunCsvCopyData,RunCsvCopyData,Default,Run CSV Copy Data,Misc,Home,Offline,,,,,,,,
SaveState,SaveState,Default,Save state,Misc,Home,Offline,,,,,,,,
LoadState,LoadState,Default,Load state,Misc,Home,Offline,,,,,,,,
TestSound,TestSound,Default,Play Test Sound,Misc,Home,,,,L,,TRUE,,,
BetaEndPopup,BetaEndPopup,Default,Beta End Popup,Misc,Home,,,,,,,,,
