Id,Type,WorldType,BattleCategory,Season,SceneType,DungeonSet,MaxShowCount,SoundEvent
string,string,string,string,int,String,int,int,string
world_unlock/dragon_world,Map,DragonLing,,-1,,-1,1,FeatureUnlockScreenDragonWorld
world_unlock/bug_world,Map,Beetle,,-1,,-1,1,FeatureUnlockScreenBugWorld
dungeon_unlock/rift_0,Map,,Rifts,0,Dungeon,-1,1,FeatureUnlockScreenRift_0
dungeon_unlock/rift_1A,Map,,Rifts,0,Dungeon,1,1,FeatureUnlockScreenRift_1A
dungeon_unlock/rift_1C,Map,,Rifts,1,Dungeon,3,1,FeatureUnlockScreenRift_1C
dungeon_unlock/rift_1B,Map,,Rifts,1,Arena,4,1,FeatureUnlockScreenRift_1B
dungeon_unlock/rift_2A,Map,,Rifts,2,Dungeon,0,1,FeatureUnlockScreenCH2Rift_2A
dojo_unlock/dojo,Map,,Dojo,-1,,-1,1,FeatureUnlockScreenDojo
pvp_unlock/pvp,Map,,Pvp,-1,,-1,1,FeatureUnlockScreenPvp
shop_unlock/shop,Shop,,,,,,1,FeatureUnlockScreenShop
event_unlock/event,Event_Pass,,,,,,1,FeatureUnlockScreenEventPass
elite_teaser/elite,ELITE_TEASE,,,,,,-1,FeatureUnlockScreenEliteTease
dungeon_unlock/rift_2B,Map,,Rifts,2,Dungeon,1,1,FeatureUnlockScreenCH2Rift_2B
dungeon_unlock/rift_2C,Map,,Rifts,2,Dungeon,2,1,FeatureUnlockScreenCH2Rift_2C
dungeon_unlock_elite/rift_2D1,Map,,Rifts,2,Dungeon,15,1,FeatureUnlockScreenCH2Rift_2D
dungeon_unlock_elite/rift_2D2,Map,,Rifts,2,Dungeon,999,1,FeatureUnlockScreenCH2Rift_2E
dungeon_unlock_elite/rift_2D3,Map,,Rifts,2,Dungeon,999,1,FeatureUnlockScreenCH2Rift_2F
world_unlock/cat_world,Map,Cat,,-1,,-1,1,FeatureUnlockScreenCH2Cats
