Name,OrderNumber,Disabled,Season,BlueprintWeight,BlueprintMap,UnlockXpLevel,RandomDropUnlockLevel,LevelOffset,StartLevelOffset,LevelCount,EstimatedXpLevel,TID,InfoTID,CastFailedTID,SkillButtonLabelTID,ForPlayer,IconAsset,GraphicsAsset,AnimationSet,Type,SubType,Mount,Skill,SkillUses,DebugInfo,SpecialUpgrade,Grade,Role,CraftEnergy,ConsumableCraftCost,HealthBuff,CriticalDamageChancePermille,CriticalWeaponChancePermille,CriticalHealingChancePermille,CriticalSpellChancePermille,CriticalPetChancePermille,DamageBuffPermille,WeaponDamageBuffPermille,HealingBuffPermille,SpeedBuffPermille,HealthBuffPermille,HealingReceivedBuffPermille,PetHealthBuffPermille,DamageReductionPermille,StunReductionPercent,HealingPerSecond,HealingPerSecondPermilleWhileMounted,MovementSpeedBuffPermilleAfterKill,AttackSpeedBuffPermille,ProjectileCountForProjectileGears,AttackAngleForProjectileGears,ComboSpeedPercent,ProjectileSpeedPercent,CooldownReductionPermille,DashCooldownReductionPermille,HealPerHit,HealClosestFriendlyPerHit,ExtraDamagePerHit,ExtraDamagePerAoeHit,ExtraDamagePerSpellHit,ExtraHealingPerHit,SkillDamageBuffPermille,ChanceToDodgePermille,DamageBuffPermilleBelow20,ShieldBlockPercentBigAttack,ShieldDamageReturn,ReflectedArrowDamage,AoeHealingPerHalfSecond,AoeDamagePerHalfSecond,AoePercentDamagePerHalfSecond,DeathHealing,DeathExplosionDamage,LightningDamagePerThreeSeconds,DamagePerSpell,PassiveDamageBuffPermille,CriticalPassiveChancePermille,PetDamageBuffPermille,PetAttackSpeedBuffPermille,RetaliationDamage,PetHealingPerHit,ShieldRefreshTimeMs,ShieldBlockAmount,InvisibleAfterNotAttackingMS,CustomTimeValue,AreaEffect,Projectile,Skill2,Range,HitsToExtraSkill,SpellsToExtraSkill,ExtraSkill,Scale,LoopingEffect,Effect,Effect2,Effect3,IgnoreWhiteDamageFlash,EquipSound,Requirement
string,int,boolean,int,int,string,int,int,int,int,int,int,string,string,string,string,boolean,string,string,string,string,string,string,string,int,string,int,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,int,int,int,string,int,string,string,string,string,boolean,string,string
StartingWeapon,1,,,,,,,,,,1,TID_STARTING_WEAPON_2,,,TID_STARTING_WEAPON_BUTTON_LABEL,TRUE,sc/ui.sc#icon_weapon_baseball_bat,sc3d/pf_starter_weapon_upgrade,,Weapon,,,StartingWeapon,,,,Common,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipMonsterSlugger,
MultishotBow,2,,,999,,,,,,,2,TID_MULTISHOT_BOW,,,,TRUE,sc/ui.sc#icon_weapon_techno_fist,sc3d/pf_electro_gloves,,Weapon,,,MultishotBow,,EASYGOBO,,Common,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipElectroGloves,
SwordAndShield,5,,,1,,,,,,,12,TID_SWORD_AND_SHIELD,,,,TRUE,sc/ui.sc#icon_weapon_toothpick_and_shield,sc3d/pf_lance_shield,,Weapon,,,SwordAndShield,,MEDIUMBEETLE,,Epic,TANK,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,SwordAndShieldStun,100,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipToothpick,
HealingStaff,4,,,1,,,,,,,9,TID_HEALING_STAFF,,,,TRUE,sc/ui.sc#icon_weapon_staff_of_good_vibes,sc3d/pf_healing_weapon,,Weapon,,,HealingStaff,,MEDIUMGOBO,,Epic,HEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,staff_goodvibes_weapon_vfx,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipHealingStaff,
DashSkill,12,,,,,,,,,,,TID_DASH_SKILL,,,TID_DASH_SKILL_BUTTON_LABEL,TRUE,sc/ui.sc#icon_Skill_DashSkill,sc3d/keychain_dash_geo.glb,,Skill,,,Dash,,EASYGOBO,,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipSkill,
HealSkill,4,,,1,,,,,,,6,TID_HEAL_SKILL,,,,TRUE,sc/ui.sc#icon_Skill_HealSkill,sc3d/vitamin_shot_geo.glb,,Skill,,,Heal,,EASYGOBO,,Common,TANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipGadgetTurboPills,
PushBackSkill,3,,,1,,,,,,,4,TID_PUSHBACK_SKILL,,,TID_PUSHBACK_SKILL_BUTTON_LABEL,TRUE,sc/ui.sc#icon_Skill_PushBackSkill,sc3d/boombox_geo.glb,,Skill,,,Pushback,,EASYGOBO,,Common,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipGadgetBoomBox,
DefenseSkill,8,,,1,,,,,,,10,TID_DEFENSE_SKILL,,,,TRUE,sc/ui.sc#icon_Skill_DefenseSkill,sc3d/airbag_geo.glb,,Skill,,,Defense,,EASYBEETLE,,Epic,TANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipGadgetLifeJacket,
JumpSkill,9,,,999,,,,,,,20,TID_JUMP_SKILL,,,,TRUE,sc/ui.sc#jump,sc3d/jump_gadget_geo.glb,,Skill,,,Jump,,MEDIUMBEETLE,,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipSkillJump,
AreaHeal,1,,,,,,,,,,1,TID_AOE_HEAL_SKILL,,,TID_AOE_HEAL_SKILL_BUTTON_LABEL,TRUE,sc/ui.sc#icon_Skill_AreaHeal,sc3d/pf_water_balloon,,Skill,,,AreaHeal,,MEDIUMBEETLE,,Common,HEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,soundbanks/Mobile/Home.bank#event:/SFX/Home/HomeWardrobeEquipGadgetWaterBalloon,
