Level,Gearscore,Gearscore_Powerstone_S1,Gearscore_Powerstone_S2
int,int,int,int
1,100,185,236
2,105,222,261
3,110,260,286
4,116,297,312
5,122,334,337
6,128,371,362
7,134,408,387
8,141,445,412
9,148,482,438
10,155,519,463
11,163,556,488
12,171,593,513
13,180,630,538
14,189,667,563
15,198,705,589
16,208,742,614
17,218,779,639
18,229,816,664
19,240,853,689
20,252,890,715
21,265,927,740
22,278,964,765
23,292,1001,790
24,307,1038,815
25,322,1075,840
26,338,1112,866
27,355,1149,891
28,373,1187,916
29,392,1224,941
30,412,1261,966
31,433,1298,992
32,455,1335,1017
33,478,1372,1042
34,502,1409,1067
35,527,1446,1092
36,553,1483,1117
37,581,1520,1143
38,610,1557,1168
39,640,1594,1193
40,672,1632,1218
41,706,1669,1243
42,741,1706,1269
43,778,1743,1294
44,817,1780,1319
45,858,1817,1344
46,901,1854,1369
47,946,1891,1394
48,993,1928,1420
49,1043,1965,1445
50,1095,2002,1470
51,1150,2039,1495
52,1207,2076,1520
53,1267,2114,1546
54,1330,2151,1571
55,1396,2188,1596
56,1466,2225,1621
57,1539,2262,1646
58,1616,2299,1672
59,1697,2336,1697
60,1782,2373,1722
61,1871,2410,1747
62,1964,2447,1772
63,2062,2484,1797
64,2165,2521,1823
65,2273,2559,1848
66,2387,2596,1873
67,2506,2633,1898
68,2631,2670,1923
69,2762,2707,1949
70,2900,2744,1974
71,3045,2781,1999
72,3197,2818,2024
73,3357,2855,2049
74,3525,2892,2074
75,3701,2929,2100
76,3886,2966,2125
77,4080,3003,2150
78,4284,3041,2175
79,4498,3078,2200
80,4723,3115,2226
81,4959,3152,2251
82,5207,3189,2276
83,5467,3226,2301
84,5740,3263,2326
85,6027,3300,2351
86,6328,3337,2377
87,6644,3374,2402
88,6976,3411,2427
89,7325,3448,2452
90,7691,3486,2477
91,7691,3523,2503
92,7691,3560,2528
93,7691,3597,2553
94,7691,3634,2578
95,7691,3671,2603
96,7691,3708,2628
97,7691,3745,2654
98,7691,3782,2679
99,7691,3819,2704
100,7691,3856,2729
101,7691,3875,2742
102,7691,3893,2754
103,7691,3912,2767
104,7691,3930,2780
105,7691,3949,2792
106,7691,3968,2805
107,7691,3986,2817
108,7691,4005,2830
109,7691,4023,2842
110,7691,4042,2855
111,7691,4060,2868
112,7691,4079,2880
113,7691,4097,2893
114,7691,4116,2905
115,7691,4134,2918
116,7691,4153,2931
117,7691,4172,2943
118,7691,4190,2956
119,7691,4209,2968
120,7691,4227,2981
121,7691,4246,2994
122,7691,4264,3006
123,7691,4283,3019
124,7691,4301,3031
125,7691,4320,3044
126,7691,4338,3057
127,7691,4357,3069
128,7691,4375,3082
129,7691,4394,3094
130,7691,4413,3107
131,7691,4431,3120
132,7691,4450,3132
133,7691,4468,3145
134,7691,4487,3157
135,7691,4505,3170
136,7691,4524,3182
137,7691,4542,3195
138,7691,4561,3208
139,7691,4579,3220
140,7691,4598,3233
141,7691,4616,3245
142,7691,4635,3258
143,7691,4654,3271
144,7691,4672,3283
145,7691,4691,3296
146,7691,4709,3308
147,7691,4728,3321
148,7691,4746,3334
149,7691,4765,3346
150,7691,4783,3359
151,7691,4802,3371
152,7691,4820,3384
153,7691,4839,3397
154,7691,4857,3409
155,7691,4876,3422
156,7691,4895,3434
157,7691,4913,3447
158,7691,4932,3459
159,7691,4950,3472
160,7691,4969,3485
161,7691,4987,3497
162,7691,5006,3510
163,7691,5024,3522
164,7691,5043,3535
165,7691,5061,3548
166,7691,5080,3560
167,7691,5099,3573
168,7691,5117,3585
169,7691,5136,3598
170,7691,5154,3611
171,7691,5173,3623
172,7691,5191,3636
173,7691,5210,3648
174,7691,5228,3661
175,7691,5247,3674
176,7691,5265,3686
177,7691,5284,3699
178,7691,5302,3711
179,7691,5321,3724
180,7691,5340,3736
181,7691,5358,3749
182,7691,5377,3762
183,7691,5395,3774
184,7691,5414,3787
185,7691,5432,3799
186,7691,5451,3812
187,7691,5469,3825
188,7691,5488,3837
189,7691,5506,3850
190,7691,5525,3862
191,7691,5543,3875
192,7691,5562,3888
193,7691,5581,3900
194,7691,5599,3913
195,7691,5618,3925
196,7691,5636,3938
197,7691,5655,3951
198,7691,5673,3963
199,7691,5692,3976
200,7691,5710,3988
201,7691,5729,4001
202,7691,5747,4013
203,7691,5766,4026
204,7691,5784,4039
205,7691,5803,4051
206,7691,5822,4064
207,7691,5840,4076
208,7691,5859,4089
209,7691,5877,4102
210,7691,5896,4114
211,7691,5914,4127
212,7691,5933,4139
213,7691,5951,4152
214,7691,5970,4165
215,7691,5988,4177
216,7691,6007,4190
217,7691,6025,4202
218,7691,6044,4215
219,7691,6063,4228
220,7691,6081,4240
221,7691,6100,4253
222,7691,6118,4265
223,7691,6137,4278
224,7691,6155,4291
225,7691,6174,4303
226,7691,6192,4316
227,7691,6211,4328
228,7691,6229,4341
229,7691,6248,4353
230,7691,6267,4366
231,7691,6285,4379
232,7691,6304,4391
233,7691,6322,4404
234,7691,6341,4416
235,7691,6359,4429
236,7691,6378,4442
237,7691,6396,4454
238,7691,6415,4467
239,7691,6433,4479
240,7691,6452,4492
241,7691,6470,4505
242,7691,6489,4517
243,7691,6508,4530
244,7691,6526,4542
245,7691,6545,4555
246,7691,6563,4568
247,7691,6582,4580
248,7691,6600,4593
249,7691,6619,4605
250,7691,6637,4618
251,7691,6656,4630
252,7691,6674,4643
253,7691,6693,4656
254,7691,6711,4668
255,7691,6730,4681
256,7691,6749,4693
257,7691,6767,4706
258,7691,6786,4719
259,7691,6804,4731
260,7691,6823,4744
261,7691,6841,4756
262,7691,6860,4769
263,7691,6878,4782
264,7691,6897,4794
265,7691,6915,4807
266,7691,6934,4819
267,7691,6952,4832
268,7691,6971,4845
269,7691,6990,4857
270,7691,7008,4870
271,7691,7027,4882
272,7691,7045,4895
273,7691,7064,4907
274,7691,7082,4920
275,7691,7101,4933
276,7691,7119,4945
277,7691,7138,4958
278,7691,7156,4970
279,7691,7175,4983
280,7691,7194,4996
281,7691,7212,5008
282,7691,7231,5021
283,7691,7249,5033
284,7691,7268,5046
285,7691,7286,5059
286,7691,7305,5071
287,7691,7323,5084
288,7691,7342,5096
289,7691,7360,5109
290,7691,7379,5122
291,7691,7397,5134
292,7691,7416,5147
293,7691,7435,5159
294,7691,7453,5172
295,7691,7472,5184
296,7691,7490,5197
297,7691,7509,5210
298,7691,7527,5222
299,7691,7546,5235
300,7691,7564,5247
301,7691,7583,5260
302,7691,7601,5273
303,7691,7620,5285
304,7691,7638,5298
305,7691,7657,5310
306,7691,7676,5323
307,7691,7694,5336
308,7691,7713,5348
309,7691,7731,5361
310,7691,7750,5373
311,7691,7768,5386
312,7691,7787,5399
313,7691,7805,5411
314,7691,7824,5424
315,7691,7842,5436
316,7691,7861,5449
317,7691,7879,5462
318,7691,7898,5474
319,7691,7917,5487
320,7691,7935,5499
321,7691,7954,5512
322,7691,7972,5524
323,7691,7991,5537
324,7691,8009,5550
325,7691,8028,5562
326,7691,8046,5575
327,7691,8065,5587
328,7691,8083,5600
329,7691,8102,5613
330,7691,8121,5625
331,7691,8139,5638
332,7691,8158,5650
333,7691,8176,5663
334,7691,8195,5676
335,7691,8213,5688
336,7691,8232,5701
337,7691,8250,5713
338,7691,8269,5726
339,7691,8287,5739
340,7691,8306,5751
341,7691,8324,5764
342,7691,8343,5776
343,7691,8362,5789
344,7691,8380,5801
345,7691,8399,5814
346,7691,8417,5827
347,7691,8436,5839
348,7691,8454,5852
349,7691,8473,5864
350,7691,8491,5877
351,7691,8510,5890
352,7691,8528,5902
353,7691,8547,5915
354,7691,8565,5927
355,7691,8584,5940
356,7691,8603,5953
357,7691,8621,5965
358,7691,8640,5978
359,7691,8658,5990
360,7691,8677,6003
361,7691,8695,6016
362,7691,8714,6028
363,7691,8732,6041
364,7691,8751,6053
365,7691,8769,6066
366,7691,8788,6078
367,7691,8806,6091
368,7691,8825,6104
369,7691,8844,6116
370,7691,8862,6129
371,7691,8881,6141
372,7691,8899,6154
373,7691,8918,6167
374,7691,8936,6179
375,7691,8955,6192
376,7691,8973,6204
377,7691,8992,6217
378,7691,9010,6230
379,7691,9029,6242
380,7691,9048,6255
381,7691,9066,6267
382,7691,9085,6280
383,7691,9103,6293
384,7691,9122,6305
385,7691,9140,6318
386,7691,9159,6330
387,7691,9177,6343
388,7691,9196,6355
389,7691,9214,6368
390,7691,9233,6381
