Name,TID,MinXPLevel,MaxXPLevel,HintType,EasterEggCharacter,EasterEggMap,FileName,ExportName,ReferringSCID
string,string,int,int,string,string,string,string,string,boolean
1,TID_HINT_0,4,999,,,,,,
10,TID_HINT_9,5,999,,,,,,
12,TID_HINT_11,4,999,,,,,,
13,TID_HINT_12,4,999,,,,,,
15,TID_HINT_14,4,999,,,,,,
18,TID_HINT_17,6,999,,,,,,
19,TID_HINT_18,4,999,,,,,,
20,TID_HINT_19,7,999,,,,,,
22,TID_HINT_21,4,999,,,,,,
23,TID_HINT_22,4,999,,,,,,
24,TID_HINT_23,1,1,,,,,,
25,TID_HINT_24,1,1,,,,,,
29,TID_HINT_28,4,999,,,,,,
32,TID_HINT_31,14,999,,,,,,
34,TID_HINT_33,20,999,,,,,,
39,TID_HINT_38,15,999,,,,,,
43,TID_HINT_42,12,999,,,,,,
44,TID_HINT_43,12,999,,,,,,
48,TID_HINT_47,15,999,,,,,,
51,TID_HINT_50,15,999,,,,,,
52,TID_HINT_51,4,999,,,,,,
53,TID_HINT_52,6,999,,,,,,
54,TID_HINT_53,11,999,,,,,,
55,TID_HINT_54,6,999,,,,,,
56,TID_HINT_55,8,999,,,,,,
57,TID_HINT_56,4,999,,,,,,
58,TID_HINT_57,4,999,,,,,,
60,TID_HINT_59,4,999,,,,,,
61,TID_HINT_60,6,999,,,,,,
62,TID_HINT_61,6,999,,,,,,
63,TID_HINT_62,4,999,,,,,,
64,TID_HINT_63,6,999,,,,,,
66,TID_HINT_65,10,999,,,,,,
68,TID_LOADING,0,0,INITIAL,,,,,
69,TID_HINT_67,4,999,,,,,,
70,TID_HINT_68,4,999,,,,,,
72,TID_HINT_70,6,999,,,,,,
76,TID_HINT_74,20,999,,,,,,
78,TID_HINT_76,10,999,,,,,,
79,TID_HINT_77,10,999,,,,,,
80,TID_HINT_78,11,999,,,,,,
82,TID_HINT_80,11,999,,,,,,
87,TID_HINT_85,20,999,,,,,,
91,TID_HINT_89,7,999,,,,,,
92,TID_HINT_90,15,999,,,,,,
95,TID_HINT_93,5,999,,,,,,
99,TID_HINT_97,30,999,,,,,,
100,TID_HINT_98,20,999,,,,,,
101,TID_HINT_99,10,999,,,,,,
104,TID_HINT_99,30,999,,,,,,
105,TID_HINT_JAX_NPC_0,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
106,TID_HINT_JAX_NPC_1,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
107,TID_HINT_JAX_NPC_2,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
108,TID_HINT_JAX_NPC_3,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
109,TID_HINT_JAX_NPC_4,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
110,TID_HINT_JAX_NPC_5,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
111,TID_HINT_JAX_NPC_6,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
112,TID_HINT_JAX_NPC_7,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
113,TID_HINT_JAX_NPC_8,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
114,TID_HINT_JAX_NPC_9,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
115,TID_HINT_JAX_NPC_10,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
116,TID_HINT_JAX_NPC_11,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
117,TID_HINT_JAX_NPC_12,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
118,TID_HINT_JAX_NPC_13,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
119,TID_HINT_JAX_NPC_14,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
120,TID_HINT_JAX_NPC_15,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
121,TID_HINT_JAX_NPC_16,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
122,TID_HINT_JAX_NPC_17,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
123,TID_HINT_JAX_NPC_18,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
124,TID_HINT_JAX_NPC_19,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
125,TID_HINT_JAX_NPC_20,1,999,EASTER_EGG,W01_EasterEgg_01,,,,
126,TID_HINT_JAX_NPC_21,1,999,EASTER_EGG,W02_EasterEgg_01,,,,
130,TID_HINT_103,1,999,,,,,,
131,TID_HINT_119,1,999,,,,,,
132,TID_HINT_RESEARCHER_NPC_0,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
133,TID_HINT_RESEARCHER_NPC_1,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
134,TID_HINT_RESEARCHER_NPC_2,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
135,TID_HINT_RESEARCHER_NPC_3,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
136,TID_HINT_RESEARCHER_NPC_4,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
137,TID_HINT_RESEARCHER_NPC_5,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
138,TID_HINT_RESEARCHER_NPC_6,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
139,TID_HINT_RESEARCHER_NPC_7,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
140,TID_HINT_RESEARCHER_NPC_8,1,999,EASTER_EGG,W00_EasterEgg_01,,,,
