Name,LocalizedName,FileName,Enabled,HasEvenSpaceCharacters,isRTL,PrimaryFonts,SecondaryFonts,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,SortOrder,TestLanguage,TestExcludes,HelpshiftLanguageTagOverride,ForcedFontName,TermsOfServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,SelfHelpUrl,InviteUrl,PurchaseDisclaimerUrl,ThirdPartySoftwareUrl,DeleteAccountUrl
String,String,String,boolean,boolean,boolean,String,String,String,String,int,boolean,String,String,String,String,String,String,String,String,String,String,String
EN,English,localization/texts.csv,TRUE,,,Latin,,en,,1,,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
KR,한국어,localization/kr.csv,TRUE,TRUE,,KR,Latin,ko,,2,,,KR,,https://supercell.com/en/terms-of-service/ko/,https://www.supercell.com/en/parents/ko/,https://www.supercell.com/en/privacy-policy/ko/,https://ingame.support.supercell.com/mo-co/ko/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/ko,https://ingame.support.supercell.com/mo-co/ko/articles/gdpr-request-deletion-of-your-personal-data.html
ES,Español,localization/es.csv,TRUE,,,Latin,,es,,3,,,ES,,https://supercell.com/en/terms-of-service/es/,https://www.supercell.com/en/parents/es/,https://www.supercell.com/en/privacy-policy/es/,https://ingame.support.supercell.com/mo-co/es/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/es,https://ingame.support.supercell.com/mo-co/es/articles/gdpr-request-deletion-of-your-personal-data.html
FR,Français,localization/fr.csv,TRUE,,,Latin,,fr,,4,,,FR,,https://supercell.com/en/terms-of-service/fr/,https://www.supercell.com/en/parents/fr/,https://www.supercell.com/en/privacy-policy/fr/,https://ingame.support.supercell.com/mo-co/fr/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/fr,https://ingame.support.supercell.com/mo-co/fr/articles/gdpr-request-deletion-of-your-personal-data.html
AR,العربية,localization/ar.csv,TRUE,,TRUE,AR,Latin,ar,,5,,,AR,,https://supercell.com/en/terms-of-service/ar/,https://www.supercell.com/en/parents/ar/,https://www.supercell.com/en/privacy-policy/ar/,https://ingame.support.supercell.com/mo-co/ar/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/ar,https://ingame.support.supercell.com/mo-co/ar/articles/gdpr-request-deletion-of-your-personal-data.html
DE,Deutsch,localization/de.csv,TRUE,,,Latin,,de,,6,,,DE,,https://supercell.com/en/terms-of-service/de/,https://www.supercell.com/en/parents/de/,https://www.supercell.com/en/privacy-policy/de/,https://ingame.support.supercell.com/mo-co/de/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/de,https://ingame.support.supercell.com/mo-co/de/articles/gdpr-request-deletion-of-your-personal-data.html
FI,Suomi,localization/fi.csv,TRUE,,,Latin,,fi,,7,,,FI,,https://supercell.com/en/terms-of-service/fi/,https://www.supercell.com/en/parents/fi/,https://www.supercell.com/en/privacy-policy/fi/,https://ingame.support.supercell.com/mo-co/fi/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/fi,https://ingame.support.supercell.com/mo-co/fi/articles/gdpr-request-deletion-of-your-personal-data.html
ID,Bahasa Indonesia,localization/id.csv,TRUE,,,Latin,,id,,8,,,ID,,https://supercell.com/en/terms-of-service/id/,https://www.supercell.com/en/parents/id/,https://www.supercell.com/en/privacy-policy/id/,https://ingame.support.supercell.com/mo-co/id/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/id/articles/gdpr-request-deletion-of-your-personal-data.html
IT,Italiano ,localization/it.csv,TRUE,,,Latin,,it,,9,,,IT,,https://supercell.com/en/terms-of-service/it/,https://www.supercell.com/en/parents/it/,https://www.supercell.com/en/privacy-policy/it/,https://ingame.support.supercell.com/mo-co/it/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/it,https://ingame.support.supercell.com/mo-co/it/articles/gdpr-request-deletion-of-your-personal-data.html
