Name,BillingPackages,Tiers
string,string,int
Special Offer $0.29,com.supercell.rogue.offer029,1
Special Offer $0.39,com.supercell.rogue.offer039,1
Special Offer $0.49,com.supercell.rogue.offer049,1
Special Offer $0.59,com.supercell.rogue.offer059,1
Special Offer $0.69,com.supercell.rogue.offer069,1
Special Offer $0.79,com.supercell.rogue.offer079,1
Special Offer $0.89,com.supercell.rogue.offer089,1
Special Offer $0.99,com.supercell.rogue.offer099,1
Special Offer $1.09,com.supercell.rogue.offer109,1
Special Offer $1.19,com.supercell.rogue.offer119,1
Special Offer $1.29,com.supercell.rogue.offer129,1
Special Offer $1.39,com.supercell.rogue.offer139,1
Special Offer $1.49,com.supercell.rogue.offer149,1
Special Offer $1.59,com.supercell.rogue.offer159,1
Special Offer $1.69,com.supercell.rogue.offer169,1
Special Offer $1.79,com.supercell.rogue.offer179,1
Special Offer $1.89,com.supercell.rogue.offer189,1
Special Offer $1.99,com.supercell.rogue.offer199,1
Special Offer $2.09,com.supercell.rogue.offer209,1
Special Offer $2.19,com.supercell.rogue.offer219,1
Special Offer $2.29,com.supercell.rogue.offer229,1
Special Offer $2.39,com.supercell.rogue.offer239,1
Special Offer $2.49,com.supercell.rogue.offer249,1
Special Offer $2.59,com.supercell.rogue.offer259,1
Special Offer $2.69,com.supercell.rogue.offer269,1
Special Offer $2.79,com.supercell.rogue.offer279,1
Special Offer $2.89,com.supercell.rogue.offer289,1
Special Offer $2.99,com.supercell.rogue.offer299,1
Special Offer $3.29,com.supercell.rogue.offer329,1
Special Offer $3.49,com.supercell.rogue.offer349,1
Special Offer $3.79,com.supercell.rogue.offer379,1
Special Offer $3.99,com.supercell.rogue.offer399,1
Special Offer $4.29,com.supercell.rogue.offer429,1
Special Offer $4.49,com.supercell.rogue.offer449,1
Special Offer $4.79,com.supercell.rogue.offer479,1
Special Offer $4.99,com.supercell.rogue.offer499,1
Special Offer $5.49,com.supercell.rogue.offer549,1
Special Offer $5.99,com.supercell.rogue.offer599,1
Special Offer $6.49,com.supercell.rogue.offer649,1
Special Offer $6.99,com.supercell.rogue.offer699,1
Special Offer $7.49,com.supercell.rogue.offer749,1
Special Offer $7.99,com.supercell.rogue.offer799,1
Special Offer $8.49,com.supercell.rogue.offer849,1
Special Offer $8.99,com.supercell.rogue.offer899,1
Special Offer $9.49,com.supercell.rogue.offer949,1
Special Offer $9.99,com.supercell.rogue.offer999,1
Special Offer $10.99,com.supercell.rogue.offer1099,1
Special Offer $11.99,com.supercell.rogue.offer1199,1
Special Offer $12.99,com.supercell.rogue.offer1299,1
Special Offer $13.99,com.supercell.rogue.offer1399,1
