Name,Value
String,float
GENERAL,
IsEnabled,0
XpLevelToUnlock,10
ShowCount,100
GreenDotScoreLimit,2000
DebugAddScoreToText,1
DUNGEON,
DungeonEnabled,1
DungeonImportance,1
DungeonBaseScore,0
DungeonAddOnlyBest,0
DungeonBuildScoreMultiplierNormal,1.2
DungeonBuildScoreAddScoreNormal,500
DungeonTimeCapBuildScoreMultiplierNormal,1.2
DungeonTimeCapBuildScoreMultiplierElite,1.2
DungeonTimeCapBuildScoreAddScoreNormal,500
DungeonTimeCapBuildScoreAddScoreElite,500
MAPS,
MapsEnabled,1
MapsImportance,1
MapsBaseScore,0
MapsAddOnlyBest,0
MapsPerRemainingCrateAddScore,50
MapsMainAddScore,300
MapsDailiesAddScore,1000
MapsEventsOnlyIfNew,1
MapsEventsAddScore,1000
MapsProjects95CompletionAddScore,40
MapsProjects90CompletionAddScore,20
MapsProjects80CompletionAddScore,10
MapsProjectsUncompletedAddScore,1
MapsInvasionProjects95CompletionAddScore,120
MapsInvasionProjects90CompletionAddScore,60
MapsInvasionProjects80CompletionAddScore,30
MapsInvasionProjectsUncompletedAddScore,3
MapsNewMapWeightAddScore,500
TEST,
TestEnabled,0
