Name,OrderNumber,TID,GraphicsAsset,IconAsset,Scale,CollectEffect,CollectEffect2,CollectEffect3,SpawnedEffect,LootingStartedEffect,TouchGroundEffect,Rarity,LoopingEffect,Type,UnlockXpLevel,CostMultiplierForGearUpgrade,DustPerUnit,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,Cap27,Cap28,Cap29,Cap30,Cap31,Cap32,Cap33,Cap34,Cap35,Cap36,Cap37,Cap38,Cap39,Cap40,Cap41,Cap42,Cap43,Cap44,Cap45,Cap46,Cap47,Cap48,Cap49,Cap50,Cap51,Cap52,Cap53,Cap54,Cap55,Cap56,Cap57,Cap58,Cap59,Cap60,Cap61,Cap62,Cap63,Cap64,Cap65,Cap66,Cap67,Cap68,Cap69,Cap70,Cap71,Cap72,Cap73,Cap74,Cap75,Cap76,Cap77,Cap78,Cap79,Cap80,Cap81,Cap82,Cap83,Cap84,Cap85,Cap86,Cap87,Cap88,Cap89,Cap90,Cap91,Cap92,Cap93,Cap94,Cap95,Cap96,Cap97,Cap98,Cap99,Cap100,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul
string,int,string,string,string,int,string,string,string,string,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,int
Diamonds,,TID_GEMS,sc3d/character_resources.glb#moco_coin,sc/ui.sc#icon_resource_gem,50,fmod_studio_sounds/items/ps_moco_coin_collect_01,fmod_studio_sounds/items/ps_moco_coin_collect_sound_01,,fmod_studio_sounds/items/moco_coin_spawn,fmod_studio_sounds/items/collectible_looting_started_moco_coin,,,,Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerup,,,sc3d/character_resources.glb#superboost,sc/ui.sc#icon_superboost,100,fx/effect/ps_loot_collect_legendary_02,,fmod_studio_sounds/gadgets/coffee_boost_start,fmod_studio_sounds/items/collectible_boost_spawn,fmod_studio_sounds/items/collectible_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_loot_aura_legendary_01,Powerup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GemChest,,TID_GEM_CHEST,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,1,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W02GemChest,,TID_GEM_CHEST,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest1,,,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest2,,,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest3,,,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest4,,,sc3d/resource_lootbox.glb,,85,,,fmod_studio_sounds/items/chest_collect_jingle,,fx/effect/ps_moco_crate_open_01,,,fx/effect/ps_moco_chest_idle_01,Chest,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerGem,,TID_PANDORA_CHAOS_CORE,,sc/ui.sc#icon_blueprint,120,fx/effect/ps_gear_upgrade_collect_01,,,fx/effect/ps_gear_upgrd_trail_01,fmod_studio_sounds/items/new_gear_looting_started,fx/effect/ps_loot_common_drop_01,,fx/effect/ps_gear_uprd_loop_01,PowerGem,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
