Name,ShowTempAttackEffect,TID,TrackTarget,EvaluateTargetConstantly,OnlyUseInSpecialSituation,Facing,RotationSpeed,Type,ShowCastingBar,Animation,SelfCastAnimation,CooldownMs,StartCooldownMs,ChargeCount,IsConsumable,PreSlowdown,Slowdown,PostSlowdown,PreSlowdownTimeMs,SlowdownTimeMs,PostSlowdownTimeMs,Damage,Healing,AttackTimeMs,DamageTimeMs,PostAttackTimeMs,MinipushbackDistance,MinipushbackSpeed,AttackRange,AttackRangeExtra,AttackRange2,AttackRange3,ChargeSpeed,ChargeDamageRadiusAdd,InterruptCharge,ChargeThroughWalls,Carry,StunSelfDurationMs,AreaEffect,ExtraSummonForFirstCombo,SummonedCharacter,SummonedCount,SummonedMaxCount,SummonRandomRange,SummonedCharacter2,SummonedCount2,SummonedMaxCount2,SummonRandomRange2,SummonedCharacter3,SummonedCount3,SummonedMaxCount3,SummonRandomRange3,Projectile,ProjectileCount,ChanneledAttackCount,TimeBetweenChanneledAttacksMs,ChanneledAttackSecond,ChanneledAttackThird,ChanneledAttackFourth,ChanneledAttackFifth,ChanneledAttackSixth,ChanneledAttackSeventh,ChanneledAttackEight,ExecuteAsChanneledAttackOnlyIfEnemiesInRange,ExecuteAsChanneledAttackOnlyIfSummonPossible,InterruptChanneledSkillWhenTargetInRangeForNextChanneledSkill,AttackAngle,UseMultiLineWarningArea,RandomAttackAngle,RandomAttackRange,MinAttackRange,Targeting,TargetingMinimumDistance,PushbackDistance,PushbackSpeed,PushbackGravity,PushbackOffsetRotation,StunDurationMs,StunDurationMsStrong,StunDurationMsBoss,ChanceToStunStrong,ChanceToStunBoss,IsBigAttack,BotShouldDodge,LinkedSkill,IncreasingComboSkill,HitsToCombo,UseComboAfterDamage,InstantSkillAfterUse,InstantSkillOnlyIfTargetsHit,InstantSkillBuffPerTargetsHit,ImmuneDuringSkill,AreaDamageMelee,PoisonSpreadRadius,ExtraAreaEffectDamage,IncreasingComboAttackSpeedBuffPermille,SummonMaxRangeTilesFromSpawn,UseAttackDuringChargeOrJump,IsAttackDuringChargeOrJumpRandomAttack,JumpAndTeleportMinDistTiles,JumpAndTeleportMaxDistTiles,VaultAggro,ChargeTickRateMs,UpdateVisualRotationDuringChanneling,FlipVisualRotationDuringJump,IsWormTeleport,ChargeDamageAreaOffsetTiles,IncreasingComboDecreaseTimerFull,JumpCurve,IncreasingComboDecreaseTimer,EscapeStun,BuffType,BuffValue,BuffValue2,BuffValue3,BuffTimeMs,IgnoreOtherSkillsDuringBuff,DamageIncreasePercentFromBehind,BuffTarget,StartAttackEffect1,StartAttackEffect2,StartAttackEffect3,StartAttackEffect4,DamageEffect,LoopingEffect,SpecialEffect,DestinationEffect,BuffEndEffect,DeathEffectForWeakEnemy,AttackEffectOffset,AttackEffectSideOffset,TargetHitEffect,ShieldedHitEffect,SequencedAttackAnim,StartCooldownOnZero,HealingBuffPercentBelow20,SkillOffset,SkillOffsetRotation,InheritHealthOnTransform,CooldownReductionMsOnHit,CanUseWhileMounted,RotationMultiplier,SelfMinipushbackDistance,SelfMinipushbackSpeed,SelfMinipushbackRotationOffset,WaitForSummonsToDie,SpeedBuffPermille,ForcePlayEachChanneledAttackAsASeparateAnimation,DashTowardsClosestEnemy,RicochetCharge,SlowdownChargePercent
string,boolean,string,boolean,boolean,string,int,int,string,boolean,string,string,int,int,int,boolean,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,boolean,string,int,string,int,string,int,int,int,string,int,int,int,string,int,int,int,string,int,int,int,string,string,string,string,string,string,string,boolean,boolean,boolean,int,boolean,boolean,int,int,string,int,int,int,int,int,int,int,int,int,int,boolean,boolean,string,string,int,boolean,string,boolean,int,boolean,boolean,int,int,int,int,boolean,boolean,int,int,boolean,int,boolean,boolean,boolean,int,int,int,int,boolean,string,int,int,int,int,boolean,int,int,string,string,string,string,string,string,string,string,string,string,int,int,string,string,boolean,boolean,int,int,int,boolean,int,boolean,int,int,int,int,boolean,int,boolean,boolean,boolean,int
StartingWeapon,,,,TRUE,,,,Attack,,Skill 1,,,,,,80,80,80,,,,66,,500,150,,40,320,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,StartingWeaponCombo,,3,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,fx/effect/baseballbat_prj_slash_a,fx/effect/baseballbat_prj_slash_b,fx/effect/baseballbat_prj_slash_a,fx/effect/baseballbat_prj_slash_b,,,,,,,60,,fx/effect/ps_monsterslugger_hit_01,,TRUE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
