"TID","EN","AR","FR","CN","CNT","DE","IT","JP","KR","PL","PT","RU","ES","FI","NL","TR","ID","TH"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"mount_glidon_01_a","Janky Glidon – Jelly","المجنح المعطوب - نموذج الجيلي","Glider rudimentaire – Prune","东拼西凑 - 水母","東拼西湊 - 水母","Ramschgleiter – Wackelpudding","Hoverskate scrauso (gelatina)","ジャンキーG - ジェリー","싸구려 글라이돈 - 젤리","Rozklekotany lotniowiec – Galareta","Planador partido (gelatina)","Кустарный глайдер — желе","Aeropatín minimalista (gelatina)","Heikko glidon – Hyytelö","Gammele zwever - gelei","Tutarsız Glidon - Jöle","Jet Ringkih – Jeli","ยานบินระหกระเหิน - เยลลี่"
"mount_glidon_01_b","Janky Glidon – Lime","المجنح المعطوب - نموذج الليمون","Glider rudimentaire – Citron vert","东拼西凑 - 酸橙","東拼西湊 - 酸橙","Ramschgleiter – Limette","Hoverskate scrauso (lime)","ジャンキーG - ライム","싸구려 글라이돈 - 라임","Rozklekotany lotniowiec – Limonka","Planador partido (limão)","Кустарный глайдер — лайм","Aeropatín minimalista (lima)","Heikko glidon – Lime","Gammele zwever - limoen","Tutarsız Glidon - Misket Limonu","Jet Ringkih – Limau","ยานบินระหกระเหิน - ไลม์"
"mount_gnarley_01_a","Gnarley Scooty – Speed Bump Moss","الدراجة النارية الخطيرة - نموذج طحالب المطبات","Bécane basique – Ralentisseur","踏板机车 - 减速带绿","踏板機車 - 減速帶綠","Toller Roller – Moosgrelle Bremsschwelle","Mo.cocicletta vintage (dosso muschiato)","クレイジースクーティー - スピードバンプモス","크레이지 스쿠터 - 과속방지턱 그린","Skuterek gnarley – Zamszony próg zwalniający","mo.toneta porreta (musgo acelerado)","Мопед — замшелый бугор","Ciclomo.cor clásico (badén musgoso)","Säntäilevä peto – Hidastustöyssysammal","Razende scooter - riskant mos","Gnarley Scooter - Kasis Yosunu","Moge Vespa – Hijau Lumut","สกูตเตอร์ฮาร์เลย์ - ลูกระนาด"
"mount_gnarley_01_b","Gnarley Scooty – Speed Limit Green","الدراجة النارية الخطيرة - نموذج أخضر السرعة","Bécane basique – Feu vert","踏板机车 - 限速区绿","踏板機車 - 限速區綠","Toller Roller – Tempolimit-Grün","Mo.cocicletta vintage (verde guida piano)","クレイジースクーティー - スピードリミットグリーン","크레이지 스쿠터 - 속도제한 그린","Skuterek gnarley – Zielone ograniczenie prędkości","mo.toneta porreta (verde-no-limite)","Мопед — зелёный светофор","Ciclomo.cor clásico (verde al límite)","Säntäilevä peto – Nopeusrajoitusvihreä","Razende scooter - hachelijk groen","Gnarley Scooter - Hız Sınırı Yeşili","Moge Vespa – Hijau Botol","สกูตเตอร์ฮาร์เลย์ - ป้ายจำกัดความเร็ว"
"mount_tuff_01_a","Wild-ish Tuff – Radish","خنزير البرية الجامح - نموذج الفجل","Brutoporc – Radis","野性坐骑- 水萝卜","野性坐騎- 水蘿蔔","Wurzelwutz – Rettich","Bistekkone semiselvatico (rapanello)","プチワイルドポーク - ラディッシュ","와일드 터프 - 래디시","Dziki twardziel – Rzodkiewka","Selva indomável (rabanete)","Диковатый хряк — редиска","Detestocino (rábano)","Villihkö porsas – Retiisi","Wildachtige Tuf - radijs","Vahşimsi Tuff - Turp","Babi Liar – Lobak Merah","หมูป่า - แรดิช"
"mount_tuff_01_b","Wild-ish Tuff – Potato","خنزير البرية الجامح - نموذج البطاطس","Brutoporc – Patate","野性坐骑 - 土豆","野性坐騎 - 馬鈴薯","Wurzelwutz – Kartoffel","Bistekkone semiselvatico (patata)","プチワイルドポーク - ジャガイモ","와일드 터프 - 포테이토","Dziki twardziel – Ziemniak","Selva indomável (batata)","Диковатый хряк — картошка","Detestocino (patata)","Villihkö porsas – Peruna","Wildachtige Tuf - aardappel","Vahşimsi Tuff - Patates","Babi Liar – Kentang","หมูป่า - โปเตโต้"
"mount_llambra_01_a","Docile Llambra – Winter Frost","لامبرا الهدوء - نموذج صقيع الشتاء","Gardien docile – Froid d'hiver","温顺座驾 - 冬日冰雪","溫順座駕 - 冬日冰雪","Wohlgesonnener Wollwidder – Frostwinter","Aries docile (brina invernale)","ピースブリンガー - ウィンターフロスト","온순한 람브라 - 윈터 포레스트","Potulna Jagienka – Zimowy szron","Aríete aprazível (gelo invernal)","Послушная ламбра — зимний мороз","Carnerito dócil (escarcha invernal)","Rauhallinen lampakka – Talvikuura","Tamme llambra - wintervorst","Uysal Llambra - Kış Ayazı","Bison Jinak – Musim Dingin","จามรีแสนเชื่อง - ลมฤดูหนาว"
"mount_llambra_01_b","Docile Llambra – Autumn Gold","لامبرا الهدوء - نموذج ذهب الخريف","Gardien docile – Feuilles d'automne","温顺座驾 - 秋日金黄","溫順座駕 - 秋日金黃","Wohlgesonnener Wollwidder – Goldherbst","Aries docile (oro autunnale)","ピースブリンガー - オータムゴールド","온순한 람브라 - 어텀 골드","Potulna Jagienka – Złota jesień","Aríete aprazível (ouro outonal)","Послушная ламбра — осеннее золото","Carnerito dócil (oro otoñal)","Rauhallinen lampakka – Syyskulta","Tamme llambra - herfstgoud","Uysal Llambra - Altın Güz","Bison Jinak – Musim Gugur","จามรีแสนเชื่อง - ใบไม้แดงอร่าม"
"mount_screechums_01_a","Hungry Screechums – Dusty Rocks","خفاش الجنون - نموذج صخور الغبار","Hurleur vorace – Tronc d'arbre","饥饿飞魔 - 尘土覆盖","飢餓飛魔 - 塵土覆蓋","Hungriger Grabsteinheuler – Geröll","Demone della sciagura affamato (roccia)","ハングリーデビル - ダスティロック","헝그리 배트몬 - 흙투성이 바위","Głodne wyjce – Piaszczyste kamienie","Fome flutuante (rochas rochosas)","Голодный крикляк — пыльные камни","Revoloteo hambriento (arenisca)","Nälkäiset kirskut – Hiekkaiset kivet","Hongerige krijser - stoffig steen","Aç Screechums - Toz Toprak","Kelelawar Lapar – Tanah Tandus","มารร้ายหิวโหย - หินคลุกฝุ่น"
"mount_screechums_01_b","Hungry Screechums – Broken Boulders","خفاش الجنون - نموذج الصخور المحطمة","Hurleur vorace – Rocher brisé","饥饿飞魔 - 粉碎岩石","飢餓飛魔 - 粉碎岩石","Hungriger Grabsteinheuler – Steinbruch","Demone della sciagura affamato (mirtillo)","ハングリーデビル - ブロークンボルダー","헝그리 배트몬 - 무너진 경계","Głodne wyjce – Zniszczone kamulce","Fome flutuante (pedriscos)","Голодный крикляк — разбитый булыжник","Revoloteo hambriento (guijarro)","Nälkäiset kirskut – Hajonneet lohkareet","Hongerige krijser - gebroken rots","Aç Screechums - Kaya Parçaları","Kelelawar Lapar – Bongkahan Batu","มารร้ายหิวโหย - ศิลาพ่าย"
"mount_wisp_01_a","Careless Wisp – Milk Chocolate","العثة الطائشة - نموذج الحليب بالشوكولاتة","Phalabelle – Chocolat blanc","不羁精灵 - 牛奶巧克力","不羈精靈 - 牛奶巧克力","Sorgloses Irrlicht – Milchschokolade","Koleotterus spavaldo (cioccolato al latte)","ケアレスウィスプ - ミルクチョコレート","덜렁이 플라이 - 밀크 초콜릿","Nieostrożna smuga – Czekolada mleczna","Traça intrépida (chocolate branco)","Беспечный мотылёк — молочный шоколад","Intrepiavispa (chocolate blanco)","Hellä kimalainen – Maitosuklaa","Vlindervlieg - melkchocolade","Sakar Meşale - Sütlü Çikolata","Ngengat – Cokelat Susu","แมลงเลินเล่อ - มิลค์ช็อคโกแลต"
"mount_wisp_01_b","Careless Wisp – Chocolate Milk","العثة الطائشة - نموذج الشوكولاتة بالحليب","Phalabelle – Chocolat au lait","不羁精灵 - 巧克力牛奶","不羈精靈 - 巧克力牛奶","Sorgloses Irrlicht – Schokoladenmilch","Koleotterus spavaldo (latte al cioccolato)","ケアレスウィスプ - チョコレートミルク","덜렁이 플라이 - 초콜릿 밀크","Nieostrożna smuga – Czekoladowe mleko","Traça intrépida (chocolate com leite)","Беспечный мотылёк — шоколадное молоко","Intrepiavispa (chocolate con leche)","Hellä kimalainen – Suklaamaito","Vlindervlieg - chocolademelk","Sakar Meşale - Çikolatalı Süt","Ngengat – Susu Cokelat","แมลงเลินเล่อ - ช็อคโกแลตมิลค์"
