Name,OrderNumber,IsFTUE,AutoTrigger,TrackFunnel
string,int,boolean,boolean,boolean
Initial,0,TRUE,TRUE,TRUE
Portal,1,TRUE,FALSE,TRUE
Name,2,TRUE,FALSE,TRUE
Wardrobe,4,TRUE,FALSE,TRUE
Fight2,5,TRUE,FALSE,TRUE
Zap,6,TRUE,FALSE,TRUE
Shrine,7,TRUE,FALSE,TRUE
Merch,8,TRUE,FALSE,TRUE
Teeth,9,TRUE,FALSE,TRUE
Shrine2,10,TRUE,FALSE,TRUE
Overgrown,11,TRUE,FALSE,TRUE
Overgrown2,12,TRUE,FALSE,TRUE
Boom,13,TRUE,FALSE,TRUE
Overgrown3,14,TRUE,FALSE,TRUE
EquipMount,15,TRUE,FALSE,TRUE
Overgrown4,16,TRUE,FALSE,TRUE
Forest1,17,TRUE,FALSE,TRUE
Forest2,18,TRUE,FALSE,TRUE
ForestEquip,19,TRUE,FALSE,TRUE
Forest3,20,TRUE,FALSE,TRUE
Rest,100,FALSE,FALSE,FALSE
