StartingWeapon:gear,,,,
,.Skill:skill.Damage,.Skill:skill.AttackTimeMs,.Skill:skill.LinkedSkill:skill.Damage,.Skill:skill.LinkedSkill:skill.BuffValue
,int,int,int,int
,20,500,0,0
,33,500,53,0
,38,500,61,0
,44,500,70,0
,51,500,81,0
,59,500,93,0
,68,500,107,0
,78,400,123,0
,89,400,141,0
,102,400,162,0
,117,400,186,0
,134,400,214,10
,154,400,246,10
,177,400,283,10
,203,400,326,10
,233,400,375,15
,268,400,431,15
,308,400,496,15
,354,400,570,15
,407,400,656,20
,,,,
SwordAndShield:gear,,,,
,.Skill:skill.Damage,SwordAndShieldStun:skill.Damage,.DamageReductionPercent,
,int,int,int,
,40,,20,
,46,,20,
,53,,20,
,61,,20,
,70,,20,
,80,,20,
,92,,20,
,106,,25,
,122,,25,
,140,,25,
,161,,25,
,185,180,25,
,213,207,25,
,245,238,25,
,282,274,25,
,324,315,30,
,373,362,30,
,429,416,30,
,494,478,30,
,568,550,30,
