Name,IconAsset,NPCCountPercent,NPCSpawnFrequencySec,MinimumBlockedSeconds,NPC,Pets,PetCount,Level,SummonLevel,Resource,ChestIndex,PatrolChance,TargetZone,TargetZone2,IsAmbush,AmbushOverride,AmbushDistanceTiles,AmbushDelaySeconds,AmbushHeightOverride,EliteChance,MegaEliteChance,SpawnFrequencyOffsetSeconds,SpawnChancePercent,NPCWeight,IgnoreOtherCharactersOnSpawn,IgnoreLootScreen,AggroRequirement,Tag,ForceSpawnOtherZonesDistance,ForceSpawnEnemiesMinCount,ForceSpawnEnemiesMaxCount,MultipleSpawnsChancePermille,MultipleSpawnsMinCount,MultipleSpawnsMaxCount,PatrolPickupRadius,PatrolPickupMinCount,PatrolPickupMaxCount
string,string,int,int,int,string,string,int,int,int,string,int,int,string,string,boolean,int,int,int,int,int,int,int,int,int,boolean,boolean,string,string,int,int,int,int,int,int,int,int,int
MikkoTest,sc/editor.sc#zone_0,100,5,5,CatStrongSupport,,,1,,,,,,,,,5,,,,,,100,1,TRUE,,,,,,,,,,4,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_EDITOR_UNKNOWN_SPAWNER,sc/editor.sc#icon_collision,100,4,1,DebugUnknownMonster,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingMelee,sc/editor.sc#zone_0,100,4,30,DragonlingWeakMelee,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingRanged,sc/editor.sc#zone_1,100,4,30,DragonlingWeakRanged,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleStrongMelee,sc/editor.sc#zone_2,100,10,30,BeetleStrongMelee,,,20,,,,,,,,,5,,,,,,100,2,,,,,,,,,,,4,10,10
,,,,,BeetleWeakDasher,,,25,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
DragonlingCharger,sc/editor.sc#zone_3,100,10,30,DragonlingStrongCharger,,,16,,,,,,,,,5,,,,,,100,2,,,,,,,,,,,4,10,10
,,,,,DragonlingStrongJumperSmall,,,2,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,
DragonlingHealer,sc/editor.sc#zone_4,100,10,30,DragonlingStrongHealer,,,35,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleSummoner,sc/editor.sc#zone_5,100,10,30,BeetleStrongSummoner,,,30,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingBossEasy,sc/editor.sc#zone_6,100,40,30,DragonlingBossEasy,,,5,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingBossMedium,sc/editor.sc#zone_7,100,40,30,DragonlingBossMedium,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleBossMedium,sc/editor.sc#zone_8,100,40,30,BeetleBossMedium,,,20,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
Tree,sc/editor.sc#zone_9,100,7,30,Tree,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleMelee,sc/editor.sc#zone_15,100,4,30,BeetleWeakMelee,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleRanged,sc/editor.sc#zone_16,100,4,30,BeetleWeakRanged,,,40,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleBossEasy,sc/editor.sc#zone_18,100,40,30,BeetleBossEasy,,,8,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
EasyPortalEvent,sc/editor.sc#zone_19,100,700,400,EasyPortal,,,20,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingRaidBoss1,sc/editor.sc#zone_20,100,50,30,DragonlingRaidBoss1,,,25,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingDungeonBoss,sc/editor.sc#zone_21,100,20,120,DragonlingDungeonBoss,,,10,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
BeetleDungeonBoss,sc/editor.sc#zone_21,100,20,120,BeetleDungeonBoss,,,12,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingEscort,sc/editor.sc#zone_21,100,5,5,DragonlingEscort,,,1,,,,,,,TRUE,,5,,,,,,100,1,,,,,,,,,,,4,10,10
DragonlingProtect,sc/editor.sc#zone_21,100,10,90,DragonlingProtect,,,1,,,,,,,,,5,,,,,,100,1,,,,,,,,,,,4,10,10
Ambush,sc/editor.sc#zone_21,,5,300,DragonlingWeakMelee,,,12,,,,,,,TRUE,,5,,,,,,50,1,TRUE,,,,,,,,,,4,10,10
